Équipe,Nombre de membres,Nombre de compagnons,Nombre de divisions,Divisions,Nombre de paires inviteur-invité,Écart moyen paires
Team_44,8,4,7,"BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Equans France Direction Juridique, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_45,8,3,7,"BIS Grand Ouest, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_46,8,3,7,"BIS Grand Ouest, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Equans Groupe, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_47,8,3,7,"BIS Grand Ouest, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_48,8,3,6,"BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_49,8,4,6,"BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, Industries des Procédés, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_50,8,4,7,"BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, Industries des Procédés, Infra Ener, Défense Marine Aéronautique, Ingénierie, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_51,8,3,7,"BIS Grand Ouest, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_52,8,4,7,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Equans Digital, Industries des Procédés",1,0
Team_53,8,4,7,"BIS Direction Communication, BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_54,8,4,7,"BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_55,8,4,7,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_56,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Générale, Equans Groupe",1,0
Team_57,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Villes & Territoires Connectés",1,0
Team_58,8,3,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_59,8,4,6,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_60,8,4,7,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans Digital, Equans France Direction Générale, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_61,7,3,5,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, Villes & Territoires Connectés",1,0
Team_62,7,3,5,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
