Id,Division,IsCompagnons,GuestId,Team
83956c33e861dd5d213e3708bb47db5406a7b859fec38f8446612fdafbe22e80,Villes & Territoires Connectés,NON,,
452f6a188c5cd17be3d691279852fbfd7b07ff005549b37546d4662a2a801155,Industries des Procédés,NON,,
7191bd193e550426a5ef94fa0c207dc926efcba82177d860f926987f75c0130e,BIS Grand Sud,NON,,
df4ffb8c2084c183b647b5bafbc8936c6f242e133db6d7ac52f855a8ba6ef84a,Equans France Direction Ressources Humaines,NON,,
7f22f46549878a05abfe84c63253e927c7ecf82fbe7e143ade674633417588fc,Industries des Procédés,NON,,
65079186a10e6009606880a8ea0a0982ff7eccf366a18a7ca6bc5f5bf29ef159,BIS Grand Sud,NON,,
f05d0978a6c21f919e04e50ff70c073504aaa9f510cbdd265e89035754ea375e,BIS Ile de France,NON,,
59c49549c6890e98180ed5e2afec6f0448e282d4960ff7d694f77901056f2fc2,Villes & Territoires Connectés,NON,,
64cee87ddc90378e9c1362e6a112cb07f748b631ef47b571b63b77078543f4af,Industries des Procédés,NON,,
c26c291a6d6c31aaf70b20ef5b6f8a0dd49d4d99dc98ca8c894bf52087e90111,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
7456ba1c3295c2734f1c873152455e8cad18eead542662b56c6e46ba7d7530b0,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
45e9e0475ec772d249378e2b62892558439d8a303c5b6cf86cc4519422d8843a,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
d80dbcbca5f7157feed4ca849d2773e61fac9f1826711ac58d2a8c78c78cbed1,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
72964b62cf519b2f26e021b9a93b5c97965bdc692163282c9d847cd9ab630f2a,"Réfrigération, Sécurité Incendie & Décarbonation",NON,,
71b6cc85904df495396b8208f9756ff1042a3cd03f2d84b21c2298a341a54bae,BIS Ile de France,NON,,
335e40def09176a0ed4641260d7308ce11a1dd9050bdd4c5f769cbaf86ad36f9,BIS Ile de France,NON,,
7212147cd2c35a4bedc702dd8f3b7d8963448b53ed33866e803cd5765424ca44,BIS Ile de France,NON,,
53b6cb04c3861c8b5164132788356fe25581984e9c58394c7007cbaef07b979c,BIS Ile de France,NON,,
f6d9e8dbf72e28c2f61887ba67d15dff8fda638bd123799fbac9b0cf9719b0c3,BIS Ile de France,NON,,
de04f5c8abdf06cb9fafc4524314a5b684c8d5088b6a25ea71d7c7fdaa4e271c,BIS Services Bâtiments & Infrastructures,NON,,
65f308fded7e8ceee04130c30d360d2614da43c64114c0e28c62566d4892e554,BIS Ile de France,NON,,
7c80f74d01f4015083cb821c16a05958489433119ab1877c3be4f52efae73d65,BIS Services Bâtiments & Infrastructures,NON,,
d40e40a258456ad11d390182c7b7edca10c3e9064f827cda13081f7837bdef0c,BIS Ile de France,NON,,
6f226f0fe1d7efa55dfc348ce259a4498e9accdcd45bdaf040a40448f401de24,BIS Grand Sud,NON,,
5e51e540ab976e0220587288417e8de04ee93688b2062cc77a698ae97b8090cb,BIS Services Bâtiments & Infrastructures,NON,,
495a855a7e611569b43cdb1f94886a6955e7c60d7ae7e26be2ab81ec266960be,BIS Grand Sud,NON,,
dbe4875196639e7be01837a10cc01a8e717bbf0380dd23be79aa9b1c674a4e6a,BIS Grand Sud,NON,,
14e7167c6164db83ef6fb8785e16e6201f6f8436906cff755b9a1b3b23614d67,BIS Services Bâtiments & Infrastructures,NON,,
cd9c67ecbcb865b162daf6b0c22915f31136f9d630776d9f1b679c39c3c6a817,BIS Grand Sud,NON,,
174257e890f47f7eff4bd2647230a49d592489784d5ad8ba4852010c8f6743aa,BIS Services Bâtiments & Infrastructures,NON,,
c8e36fdc62235951a8f1d5de339b91f8f1e5e1abbb20f22b28da5ea495fd3d78,BIS Direction Communication,NON,,
9adcfdc1467b21ceac2f4e61411910824529912bf93e48a06c24249318ba8aa7,BIS Nord & Est,NON,,
3fca917347492c123b51c724d7f02a3eca673ff684b1e75afef92cdfaa034278,BIS Grand Ouest,NON,,
771e0aac0a5e9cf269e78220573bf3830c2bbde5b9a799aece862059071a747d,BIS Grand Ouest,NON,,
51c80bc118a755c4af341e51958c9a9faab29c3c842cb51725450c06804ec9ac,BIS Grand Ouest,NON,,
9e72dc0e99fb67ce7d55317f47d88b2d72bccfe156028963ab2d62ae78b2b026,BIS Nord & Est,NON,,
0740ac0ab8f94ce531110aed0af63f15de8b054d10005bf13756e08a9a2a620c,BIS Grand Ouest,NON,,
9b48feede11691031cea0c21ea2e45ad034eb1de720da96b21efe78cf5b40c3c,BIS Nord & Est,NON,,
8b904f59d697b212acf8d867646cdd0559739bdcb1370bf1c702ebede4673186,BIS Grand Ouest,NON,,
3827a5227dd7ea8a96be6991f232dd46b1cfb812e65cef22b4ea6486ca7ade30,BIS Grand Ouest,NON,,
a87109e4771e48272899e038b53105e1131438527a3a091412cf05e4f3bcda11,Industries des Procédés,NON,,
